Trajectories
100
,,Sub5:LFHD,,,Sub5:RFHD,,,Sub5:LBHD,,,Sub5:RBHD,,,Sub5:C7,,,Sub5:T10,,,Sub5:CLAV,,,Sub5:STRN,,,Sub5:LSHO,,,Sub5:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,114.369232,305.354797,1369.831421,6.088070,310.973175,1371.132202,142.476364,436.902466,1342.476685,-15.115229,440.517120,1340.069214,73.938019,488.976562,1191.177124,78.407532,577.566162,914.939087,58.670616,318.128326,1092.250488,58.586895,267.502197,932.191345,281.228119,391.964691,1122.905396,-151.123352,405.757080,1113.701538
2,0,114.395515,305.339752,1369.824097,6.111334,310.941803,1371.131348,142.474625,436.892120,1342.462524,-15.114715,440.479156,1340.061279,73.945755,488.951202,1191.179321,78.412071,577.558167,914.942200,58.675911,318.119843,1092.233887,58.590580,267.513245,932.166016,281.234497,391.945526,1122.894287,-151.115829,405.739990,1113.694458
3,0,114.428238,305.322571,1369.814575,6.141110,310.903168,1371.128784,142.472763,436.880646,1342.445312,-15.114578,440.432892,1340.052734,73.953773,488.920715,1191.181396,78.416794,577.548889,914.945923,58.682697,318.110779,1092.213379,58.594959,267.526184,932.135010,281.241760,391.923431,1122.880981,-151.106552,405.718567,1113.685303
4,0,114.465813,305.304443,1369.803467,6.176321,310.859222,1371.124878,142.471085,436.868896,1342.426514,-15.114775,440.381104,1340.043457,73.961159,488.886810,1191.183838,78.420998,577.538940,914.950134,58.690838,318.102112,1092.189575,58.599834,267.540222,932.099670,281.249359,391.900177,1122.865845,-151.095718,405.693787,1113.674438
5,0,114.506241,305.286285,1369.790771,6.215334,310.812775,1371.119263,142.470139,436.857666,1342.407349,-15.114717,440.326660,1340.034302,73.967278,488.851532,1191.186035,78.424019,577.528992,914.954712,58.700123,318.094543,1092.163940,58.605133,267.554901,932.061890,281.256836,391.877716,1122.850098,-151.083710,405.667145,1113.662109
6,0,114.547554,305.268616,1369.776978,6.256272,310.766083,1371.112061,142.470428,436.846985,1342.389038,-15.113533,440.272064,1340.025391,73.971794,488.816711,1191.188232,78.425552,577.519470,914.959534,58.710392,318.088593,1092.137451,58.610928,267.569855,932.023682,281.264191,391.857422,1122.834106,-151.070709,405.640259,1113.649292
7,0,114.587990,305.251434,1369.761719,6.297335,310.721191,1371.103882,142.472610,436.836517,1342.372070,-15.110520,440.219391,1340.017578,73.974785,488.783844,1191.190063,78.425591,577.510803,914.964417,58.721542,318.084473,1092.111450,58.617226,267.584869,931.986572,281.271484,391.840240,1122.818481,-151.057053,405.614594,1113.635986
8,0,114.626205,305.234467,1369.745117,6.336998,310.679443,1371.094727,142.477295,436.825562,1342.356689,-15.105227,440.170258,1340.010620,73.976913,488.753876,1191.191406,78.424538,577.503174,914.969116,58.733513,318.082306,1092.086792,58.624023,267.599884,931.951538,281.278992,391.826660,1122.803589,-151.042999,405.591522,1113.623047
9,0,114.661217,305.217072,1369.727539,6.374056,310.641571,1371.084961,142.484940,436.813263,1342.342773,-15.097309,440.125519,1340.005249,73.979195,488.727478,1191.192505,78.423019,577.496765,914.973389,58.746189,318.082001,1092.063721,58.631283,267.614685,931.919189,281.286926,391.816559,1122.789429,-151.028824,405.571960,1113.610840
10,0,114.692375,305.198761,1369.708374,6.407610,310.607819,1371.074951,142.495911,436.798737,1342.329956,-15.086635,440.085907,1340.001221,73.982803,488.704834,1191.193481,78.421837,577.492004,914.976807,58.759384,318.083496,1092.042114,58.638992,267.629059,931.890259,281.295441,391.809448,1122.775879,-151.014832,405.556580,1113.599854
11,0,114.719307,305.179108,1369.688232,6.437057,310.578094,1371.064819,142.510284,436.781464,1342.318359,-15.073375,440.051910,1339.998779,73.988632,488.686005,1191.194092,78.421753,577.488525,914.979370,58.772858,318.086487,1092.022461,58.647198,267.642761,931.864990,281.304596,391.804626,1122.763184,-151.001266,405.545502,1113.590332
