Trajectories
100
,,Sub6:LFHD,,,Sub6:RFHD,,,Sub6:LBHD,,,Sub6:RBHD,,,Sub6:C7,,,Sub6:T10,,,Sub6:CLAV,,,Sub6:STRN,,,Sub6:LSHO,,,Sub6:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,112.309013,319.914459,1294.449829,1.441727,315.896057,1299.421509,135.975037,463.629303,1256.700073,-27.203569,458.409973,1259.020630,57.736843,507.779053,1119.947510,51.755459,553.603882,870.172058,48.019806,367.324860,1051.732788,50.557644,325.991699,904.908752,243.814377,433.813293,1059.495850,-135.014572,431.828339,1063.340332
2,0,112.344833,319.939911,1294.446045,1.481383,315.906403,1299.428101,135.989258,463.651276,1256.680054,-27.179411,458.408813,1259.012329,57.750729,507.796753,1119.969116,51.757053,553.619873,870.173401,48.040527,367.299377,1051.752075,50.574596,325.972626,904.924927,243.833878,433.809509,1059.505737,-135.001724,431.795319,1063.350220
3,0,112.390083,319.967865,1294.438599,1.531938,315.912872,1299.434326,136.006943,463.674469,1256.656372,-27.150690,458.401917,1259.000977,57.761658,507.810120,1119.988525,51.758133,553.638367,870.174255,48.068840,367.268097,1051.777100,50.597225,325.954895,904.945251,243.859314,433.806763,1059.516846,-134.984406,431.749054,1063.362549
4,0,112.442932,319.994507,1294.426392,1.591395,315.911255,1299.437866,136.027252,463.695465,1256.631714,-27.118679,458.386322,1258.987305,57.768227,507.818634,1120.004883,51.758083,553.658020,870.174438,48.104893,367.232880,1051.807007,50.625000,325.943726,904.968384,243.890091,433.806091,1059.528564,-134.963043,431.689056,1063.377441
5,0,112.500938,320.015259,1294.407959,1.657184,315.897125,1299.436523,136.049332,463.710785,1256.609009,-27.084621,458.359558,1258.972778,57.770493,507.824127,1120.019287,51.756351,553.677490,870.174133,48.148376,367.195862,1051.840942,50.656895,325.945587,904.991943,243.925247,433.808624,1059.539307,-134.938477,431.615845,1063.394409
6,0,112.561707,320.025452,1294.381958,1.726902,315.866272,1299.426880,136.072479,463.717316,1256.591309,-27.049728,458.319794,1258.959229,57.769413,507.829193,1120.033569,51.752575,553.696289,870.173340,48.198345,367.158813,1051.876953,50.691753,325.966370,905.013367,243.963562,433.815613,1059.548462,-134.911682,431.530640,1063.414673
7,0,112.623375,320.020691,1294.347290,1.798687,315.815063,1299.406006,136.096252,463.712524,1256.581909,-27.014978,458.265533,1258.948120,57.766487,507.836761,1120.049927,51.746555,553.714417,870.172485,48.253471,367.123108,1051.913940,50.728554,326.009735,905.030945,244.003738,433.828552,1059.555298,-134.883499,431.435089,1063.438843
8,0,112.684937,319.997284,1294.302124,1.871365,315.740631,1299.370850,136.120224,463.694458,1256.582520,-26.981106,458.195709,1258.940918,57.763016,507.848846,1120.070312,51.738190,553.732300,870.172119,48.312382,367.089905,1051.950439,50.766823,326.073730,905.044250,244.044815,433.848846,1059.559937,-134.854355,431.330994,1063.468018
9,0,112.746399,319.952179,1294.244873,1.944504,315.640961,1299.318970,136.143982,463.661438,1256.594238,-26.948753,458.108795,1258.939087,57.759205,507.865906,1120.094849,51.727409,553.750610,870.171997,48.374012,367.060150,1051.984985,50.806862,326.148834,905.055115,244.086273,433.877625,1059.562866,-134.824371,431.220276,1063.502075
10,0,112.808685,319.883148,1294.173828,2.018268,315.514557,1299.248047,136.166977,463.611969,1256.617065,-26.918558,458.002899,1258.942993,57.754326,507.887299,1120.122925,51.714020,553.770142,870.171509,48.437725,367.034790,1052.016357,50.849392,326.221497,905.066406,244.128403,433.915375,1059.565308,-134.793533,431.104645,1063.541016
11,0,112.873238,319.788025,1294.087280,2.093027,315.360535,1299.156494,136.188507,463.544769,1256.650269,-26.891207,457.876099,1258.953369,57.747974,507.911682,1120.151855,51.697601,553.791016,870.169128,48.503120,367.014221,1052.043945,50.894817,326.281586,905.080078,244.171722,433.962250,1059.568481,-134.762146,430.985687,1063.583984
12,0,112.941544,319.665131,1293.983765,2.169031,315.178253,1299.043213,136.207916,463.458710,1256.692261,-26.867620,457.726288,1258.970337,57.741047,507.938080,1120.179565,51.677498,553.813354,870.163452,48.569798,366.998505,1052.066650,50.942921,326.326324,905.095947,244.216919,434.017944,1059.573486,-134.730698,430.864655,1063.629272
13,0,113.014336,319.512909,1293.861450,2.246401,314.966705,1298.906616,136.224411,463.352844,1256.742432,-26.849003,457.551910,1258.994751,57.735607,507.966980,1120.203857,51.652966,553.836975,870.153320,48.637348,366.987244,1052.084595,50.993187,326.357788,905.112854,244.264557,434.082092,1059.581909,-134.699905,430.742798,1063.676147
14,0,113.090889,319.330353,1293.718384,2.325156,314.724609,1298.745728,136.237106,463.226318,1256.800659,-26.836550,457.351471,1259.026733,57.733944,508.000366,1120.225952,51.623405,553.862000,870.138062,48.705391,366.980499,1052.097778,51.045170,326.379791,905.129578,244.314682,434.154449,1059.593628,-134.670502,430.621368,1063.723022
15,0,113.169083,319.117310,1293.551636,2.404973,314.449829,1298.559570,136.245041,463.078400,1256.867554,-26.830954,457.123779,1259.067261,57.737450,508.039886,1120.246704,51.588615,553.888184,870.117798,48.773567,366.978363,1052.107056,51.098637,326.396027,905.145813,244.366394,434.235809,1059.608521,-134.643005,430.501953,1063.769043
16,0,113.246292,318.873322,1293.358887,2.484766,314.139832,1298.346313,136.247253,462.908600,1256.945435,-26.832315,456.868164,1259.117065,57.746002,508.085602,1120.267456,51.548897,553.915710,870.093140,48.841522,366.981598,1052.113770,51.153545,326.409027,905.162292,244.417542,434.328033,1059.623901,-134.617661,430.386475,1063.813477
17,0,113.320412,318.597595,1293.138428,2.562586,313.792053,1298.104492,136.242798,462.716248,1257.037476,-26.840334,456.584076,1259.177002,57.758152,508.136200,1120.289429,51.504997,553.944580,870.065308,48.908966,366.990814,1052.119629,51.209965,326.421143,905.180420,244.465561,434.433685,1059.636597,-134.594360,430.277069,1063.855713
18,0,113.389969,318.288788,1292.889893,2.635920,313.404266,1297.833008,136.230972,462.500793,1257.147461,-26.854719,456.271149,1259.248901,57.771599,508.189148,1120.312622,51.458088,553.974731,870.035461,48.975712,367.006775,1052.126221,51.268169,326.433929,905.201904,244.508896,434.555084,1059.644775,-134.572662,430.175751,1063.896362
19,0,113.453476,317.945251,1292.614624,2.702159,312.975494,1297.529907,136.211258,462.261719,1257.278564,-26.875690,455.929291,1259.334106,57.783760,508.241364,1120.336792,51.409599,554.006470,870.004456,49.041630,367.029968,1052.134766,51.328484,326.448456,905.228149,244.547562,434.693207,1059.649170,-134.551819,430.083984,1063.936035
20,0,113.508972,317.566010,1292.314209,2.758858,312.506256,1297.193970,136.183090,461.998688,1257.433472,-26.904190,455.558533,1259.432495,57.792572,508.290649,1120.362061,51.360874,554.040039,869.973816,49.106647,367.060028,1052.145630,51.391144,326.465393,905.259888,244.582184,434.847870,1059.652222,-134.531143,430.002502,1063.974854
21,0,113.553909,317.150879,1291.990112,2.803662,311.998230,1296.823486,136.145523,461.711487,1257.613770,-26.941578,455.159363,1259.542847,57.797035,508.336670,1120.388306,51.312840,554.076172,869.944580,49.170815,367.096130,1052.158203,51.456348,326.485443,905.296936,244.613220,435.017456,1059.656372,-134.509811,429.930756,1064.013916
22,0,113.585495,316.700653,1291.644531,2.834067,311.453705,1296.418213,136.097122,461.399902,1257.819946,-26.989079,454.733185,1259.661377,57.797409,508.380188,1120.415894,51.265827,554.115906,869.917480,49.234333,367.136475,1052.171875,51.524460,326.509399,905.337891,244.640732,435.199432,1059.664185,-134.487274,429.867096,1064.052734
23,0,113.600632,316.216583,1291.279175,2.847319,310.875610,1295.977173,136.036102,461.063507,1258.050293,-27.047558,454.282166,1259.782715,57.795109,508.422363,1120.445801,51.219784,554.160095,869.892761,49.297585,367.179108,1052.184814,51.595955,326.538239,905.380554,244.664520,435.390594,1059.675903,-134.463150,429.809174,1064.090088
24,0,113.596107,315.700500,1290.896729,2.840364,310.267639,1295.500488,135.960999,460.701538,1258.303101,-27.117643,453.808624,1259.900635,57.792351,508.464874,1120.478882,51.174469,554.209534,869.870178,49.361008,367.221832,1052.195801,51.671158,326.572968,905.421936,244.684280,435.587311,1059.690674,-134.437363,429.754395,1064.125000
25,0,113.568787,315.154633,1290.500000,2.809847,309.633942,1294.988770,135.871475,460.313446,1258.575806,-27.200081,453.315094,1260.009155,57.791328,508.509033,1120.515869,51.129787,554.264404,869.848877,49.425018,367.262909,1052.202759,51.750004,326.613861,905.458740,244.700180,435.785950,1059.706665,-134.409912,429.700195,1064.155273
26,0,113.515709,314.581512,1290.092285,2.752330,308.979706,1294.443115,135.768295,459.898865,1258.865845,-27.295965,452.804779,1260.102417,57.793133,508.555359,1120.556763,51.086018,554.324402,869.828430,49.489895,367.301025,1052.203613,51.832024,326.660492,905.488342,244.713150,435.982391,1059.722046,-134.380768,429.644409,1064.179321
27,0,113.433983,313.984253,1289.677246,2.664651,308.310577,1293.866455,135.652542,459.457886,1259.170654,-27.406475,452.282013,1260.175415,57.797035,508.601898,1120.600342,51.043861,554.388733,869.808044,49.555744,367.335175,1052.197388,51.916477,326.711853,905.509094,244.725311,436.172577,1059.736938,-134.349930,429.585632,1064.196167
28,0,113.320328,313.366364,1289.258789,2.544088,307.632294,1293.261597,135.524750,458.991180,1259.486816,-27.532290,451.752411,1260.224731,57.800579,508.643921,1120.644287,51.004402,554.457092,869.787598,49.622559,367.364655,1052.182617,52.002529,326.767334,905.519897,244.739883,436.352570,1059.753418,-134.317322,429.523346,1064.205566
29,0,113.171066,312.732086,1288.840210,2.388098,306.951019,1292.632446,135.384750,458.500336,1259.811279,-27.673418,451.222229,1260.247192,57.800518,508.674988,1120.685425,50.968895,554.529053,869.766907,49.690411,367.388733,1052.159058,52.089443,326.826324,905.519958,244.760056,436.519409,1059.773560,-134.282959,429.457703,1064.207397
30,0,112.982269,312.085785,1288.425171,2.193724,306.272919,1291.982300,135.232132,457.987610,1260.142700,-27.829445,450.697815,1260.240601,57.794491,508.690247,1120.721436,50.938538,554.604309,869.745789,49.759705,367.406982,1052.126831,52.176781,326.888550,905.509033,244.787094,436.672211,1059.796631,-134.246567,429.389313,1064.202271
