Trajectories
100
,,Sub3:LFHD,,,Sub3:RFHD,,,Sub3:LBHD,,,Sub3:RBHD,,,Sub3:C7,,,Sub3:T10,,,Sub3:CLAV,,,Sub3:STRN,,,Sub3:LSHO,,,Sub3:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16,0,145.184952,325.822327,1364.866577,37.013363,326.840881,1367.175293,167.198608,468.341705,1354.762085,8.677300,461.641693,1357.979858,83.319679,523.649231,1155.954224,81.423782,575.287842,933.056519,90.733597,351.978333,1108.080688,93.708443,289.514404,956.271973,258.441071,423.332123,1134.963501,-82.803436,408.155060,1131.843018
17,0,145.201965,325.841156,1364.903809,37.019283,326.861603,1367.196777,167.197327,468.373291,1354.755737,8.682903,461.660614,1357.964355,83.327225,523.642395,1155.951538,81.426559,575.283997,933.060791,90.747902,351.972046,1108.056396,93.720253,289.448273,956.276306,258.456146,423.332153,1134.951782,-82.791649,408.141876,1131.827026
18,0,145.217789,325.860504,1364.936768,37.026943,326.878204,1367.216553,167.195908,468.403473,1354.750732,8.688045,461.676331,1357.949341,83.336098,523.633972,1155.948608,81.429367,575.280579,933.065918,90.762932,351.968567,1108.032104,93.732544,289.378357,956.282776,258.471527,423.332825,1134.939575,-82.779556,408.123749,1131.811646
19,0,145.233429,325.878235,1364.965210,37.036190,326.890594,1367.233765,167.194702,468.431366,1354.747803,8.691252,461.688171,1357.936401,83.345932,523.624817,1155.946289,81.431862,575.277222,933.071350,90.778870,351.967804,1108.009033,93.746101,289.313873,956.288208,258.486786,423.335205,1134.926514,-82.767151,408.101654,1131.797729
20,0,145.249435,325.893036,1364.989014,37.046894,326.898956,1367.247314,167.194168,468.456238,1354.747437,8.690384,461.695770,1357.926880,83.355965,523.616516,1155.944336,81.433578,575.273438,933.076782,90.796509,351.968567,1107.987793,93.761192,289.263275,956.289124,258.501801,423.340027,1134.913330,-82.754501,408.077026,1131.786133
21,0,145.266083,325.904205,1365.008545,37.058975,326.903687,1367.257568,167.194748,468.477325,1354.749512,8.682543,461.699188,1357.922363,83.365219,523.609558,1155.942871,81.434158,575.269104,933.081909,90.815895,351.969818,1107.969482,93.777321,289.231354,956.283875,258.516571,423.347473,1134.900146,-82.741615,408.051605,1131.776978
22,0,145.283478,325.911407,1365.024170,37.072327,326.905396,1367.264648,167.196976,468.494354,1354.754395,8.664103,461.699005,1357.924072,83.372826,523.604431,1155.941895,81.433403,575.264465,933.086609,90.836098,351.971283,1107.954224,93.793518,289.218201,956.273376,258.530823,423.357422,1134.886597,-82.728416,408.026733,1131.769775
23,0,145.301636,325.915100,1365.036621,37.086803,326.904846,1367.269287,167.201309,468.507202,1354.761353,8.631279,461.695862,1357.933105,83.378235,523.601074,1155.940918,81.431374,575.259460,933.090820,90.855431,351.973511,1107.942139,93.808624,289.219482,956.260254,258.544281,423.369568,1134.873413,-82.714783,408.003357,1131.764160
24,0,145.320648,325.916138,1365.046387,37.102318,326.902832,1367.272339,167.208237,468.516357,1354.769653,8.581478,461.690582,1357.949829,83.381424,523.599060,1155.940063,81.428452,575.254456,933.094116,90.871872,351.977417,1107.932495,93.821617,289.228729,956.247742,258.556793,423.383362,1134.860107,-82.700867,407.982361,1131.759033
25,0,145.340546,325.915833,1365.053955,37.118935,326.900330,1367.275146,167.217987,468.522644,1354.778442,8.515356,461.684052,1357.973633,83.382874,523.598328,1155.939331,81.425240,575.249573,933.096375,90.884438,351.983673,1107.924438,93.832176,289.240967,956.237488,258.568176,423.398438,1134.847046,-82.687073,407.964691,1131.753296
26,0,145.361282,325.915283,1365.059937,37.136837,326.898010,1367.277954,167.230423,468.527069,1354.785889,8.439525,461.677460,1358.001465,83.383362,523.598572,1155.938843,81.422516,575.245056,933.097107,90.893944,351.991669,1107.917236,93.840897,289.254089,956.228638,258.578522,423.414520,1134.833740,-82.673866,407.951111,1131.746582
27,0,145.382828,325.915527,1365.064087,37.156307,326.896179,1367.281616,167.245270,468.530914,1354.791138,8.370103,461.672211,1358.028687,83.383522,523.599731,1155.938354,81.421059,575.241760,933.096558,90.901970,352.000458,1107.909058,93.848763,289.267914,956.219299,258.587921,423.431519,1134.819458,-82.661476,407.942139,1131.738159
28,0,145.405136,325.917328,1365.066650,37.177521,326.895172,1367.286011,167.261841,468.535522,1354.792847,8.332568,461.669861,1358.046997,83.383667,523.602173,1155.937988,81.421524,575.240051,933.094910,90.909485,352.009308,1107.899292,93.856453,289.282043,956.208191,258.596710,423.449127,1134.804077,-82.649925,407.937836,1131.728516
29,0,145.428268,325.921448,1365.067017,37.200462,326.894958,1367.290771,167.279434,468.541931,1354.789917,8.348618,461.671265,1358.050049,83.383865,523.605835,1155.937378,81.424126,575.240784,933.092468,90.916763,352.018158,1107.887085,93.864136,289.296295,956.193848,258.605225,423.467072,1134.787476,-82.639107,407.937866,1131.717529
30,0,145.452057,325.928101,1365.064697,37.224827,326.895538,1367.295410,167.297440,468.550903,1354.782471,8.417577,461.675812,1358.037476,83.384575,523.610291,1155.936157,81.428497,575.244568,933.089661,90.923836,352.027252,1107.871582,93.871597,289.311249,956.175476,258.613647,423.484924,1134.769165,-82.628990,407.941589,1131.705566
31,0,145.476196,325.937164,1365.059692,37.250023,326.896576,1367.299072,167.315231,468.562439,1354.770142,8.516738,461.681793,1358.015259,83.386551,523.615417,1155.933594,81.433975,575.251221,933.086548,90.930779,352.037170,1107.852417,93.878410,289.327911,956.152649,258.622162,423.502197,1134.749512,-82.619507,407.948181,1131.692749
32,0,145.500168,325.947906,1365.051758,37.275192,326.898010,1367.301514,167.332153,468.575897,1354.754395,8.620292,461.687012,1357.990723,83.390465,523.620728,1155.930542,81.439659,575.260559,933.083191,90.937500,352.048462,1107.830688,93.884087,289.347534,956.125610,258.630585,423.518433,1134.728638,-82.610634,407.956940,1131.679810
33,0,145.523209,325.959290,1365.041016,37.299232,326.899414,1367.301758,167.347687,468.589996,1354.736816,8.712274,461.689819,1357.968140,83.396599,523.625977,1155.926758,81.444801,575.271667,933.079163,90.943573,352.061920,1107.806519,93.888390,289.372131,956.094910,258.638580,423.533264,1134.707520,-82.602463,407.967285,1131.666992
34,0,145.544189,325.970215,1365.027710,37.320957,326.900574,1367.298950,167.361328,468.603333,1354.719238,8.786366,461.689453,1357.948853,83.404823,523.630859,1155.922607,81.448929,575.283875,933.074280,90.948364,352.078217,1107.781738,93.891243,289.403961,956.061340,258.645874,423.546661,1134.687622,-82.595245,407.979004,1131.654907
35,0,145.561981,325.979675,1365.011963,37.339218,326.901215,1367.293091,167.372894,468.614716,1354.703369,8.841861,461.686127,1357.933472,83.414627,523.635803,1155.918701,81.451950,575.296936,933.068726,90.951248,352.097626,1107.757080,93.892494,289.443542,956.026672,258.652100,423.559082,1134.670288,-82.589188,407.992188,1131.643555
36,0,145.575485,325.987213,1364.994141,37.353077,326.901428,1367.283813,167.382294,468.623230,1354.690918,8.880592,461.681244,1357.921509,83.424934,523.641663,1155.915649,81.454018,575.310730,933.062927,90.951820,352.119843,1107.733887,93.891876,289.488770,955.993591,258.657196,423.570892,1134.656250,-82.584549,408.007172,1131.633423
37,0,145.583725,325.992462,1364.975220,37.361874,326.901337,1367.271362,167.389557,468.628479,1354.682251,8.905105,461.676331,1357.912231,83.434334,523.649231,1155.913330,81.455368,575.325378,933.057007,90.950043,352.144104,1107.713013,93.889175,289.534882,955.965698,258.661224,423.582642,1134.646851,-82.581680,408.024597,1131.625122
38,0,145.585922,325.995453,1364.955322,37.365223,326.901367,1367.255615,167.394608,468.630432,1354.677856,8.917907,461.672760,1357.904785,83.441673,523.659302,1155.911865,81.456268,575.341187,933.050964,90.946320,352.169281,1107.695190,93.884552,289.576691,955.945862,258.664215,423.594482,1134.642212,-82.580933,408.045013,1131.619141
