Trajectories
100
,,Sub2:LFHD,,,Sub2:RFHD,,,Sub2:LBHD,,,Sub2:RBHD,,,Sub2:C7,,,Sub2:T10,,,Sub2:CLAV,,,Sub2:STRN,,,Sub2:LSHO,,,Sub2:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,201.393860,357.941223,1417.864380,91.488411,353.557831,1417.037109,221.046844,507.349487,1385.518433,63.807392,492.097839,1380.026367,151.198303,562.323975,1219.337891,140.231857,616.845154,943.388062,137.490723,434.699097,1124.753662,135.245300,409.367157,969.365051,312.519073,506.734375,1172.752808,-37.083191,505.713226,1174.499268
2,0,201.310089,357.901123,1417.856934,91.404739,353.542542,1417.018311,220.990814,507.310211,1385.526855,63.752018,492.092468,1380.017578,151.164017,562.313477,1219.339233,140.228516,616.841370,943.388062,137.450485,434.695923,1124.746216,135.218567,409.372986,969.357849,312.482300,506.706726,1172.767456,-37.121853,505.724609,1174.478027
3,0,201.205887,357.853912,1417.847412,91.299698,353.522430,1416.993896,220.916733,507.262573,1385.537598,63.681679,492.084351,1380.005249,151.118790,562.299438,1219.340820,140.222931,616.836731,943.387146,137.399292,434.693115,1124.736206,135.185974,409.381012,969.348389,312.434631,506.674469,1172.786133,-37.171349,505.737915,1174.449829
4,0,201.086090,357.803314,1417.836426,91.177963,353.497864,1416.964722,220.826004,507.209717,1385.550049,63.598438,492.072906,1379.989258,151.063690,562.281799,1219.342163,140.214996,616.831177,943.384949,137.339127,434.691254,1124.724243,135.149139,409.391235,969.336609,312.377350,506.640381,1172.808350,-37.230297,505.751953,1174.414795
5,0,200.956329,357.753052,1417.824829,91.045288,353.469269,1416.931885,220.721252,507.155670,1385.563477,63.504711,492.057495,1379.970459,151.000732,562.260498,1219.343140,140.204819,616.825073,943.381104,137.272598,434.690857,1124.711426,135.109482,409.403625,969.323181,312.312256,506.607178,1172.833374,-37.296997,505.765747,1174.374390
6,0,200.821701,357.706146,1417.813843,90.907211,353.437225,1416.896606,220.605423,507.104095,1385.578003,63.402557,492.037476,1379.948975,150.932571,562.235718,1219.344604,140.192856,616.818420,943.375977,137.202118,434.692474,1124.697876,135.068268,409.418182,969.308289,312.241089,506.577240,1172.859985,-37.369869,505.777954,1174.330200
7,0,200.686188,357.664642,1417.803955,90.768242,353.401825,1416.860107,220.481049,507.058258,1385.593384,63.293480,492.012115,1379.926025,150.862061,562.207153,1219.347046,140.179565,616.811401,943.369873,137.129776,434.696259,1124.684326,135.026749,409.434814,969.292786,312.165619,506.552155,1172.888306,-37.447678,505.787781,1174.284058
8,0,200.552689,357.629486,1417.795898,90.631813,353.363037,1416.823730,220.350082,507.020355,1385.609497,63.178539,491.980835,1379.902100,150.792236,562.174805,1219.351196,140.165329,616.803894,943.363464,137.057327,434.702026,1124.671387,134.986252,409.452942,969.277222,312.087250,506.532776,1172.918091,-37.529388,505.794281,1174.237061
9,0,200.423340,357.600708,1417.789429,90.500389,353.320343,1416.788696,220.213760,506.991455,1385.626343,63.058586,491.943146,1379.878418,150.725418,562.138306,1219.357910,140.150284,616.796143,943.357788,136.986099,434.709290,1124.658813,134.947861,409.471680,969.262024,312.007111,506.519440,1172.949829,-37.613976,505.796783,1174.190308
10,0,200.299911,357.578064,1417.784790,90.375862,353.273285,1416.755249,220.072708,506.971588,1385.643799,62.934547,491.898438,1379.854858,150.662781,562.098267,1219.367920,140.134247,616.788696,943.353455,136.916992,434.717163,1124.647339,134.912323,409.490295,969.247253,311.925934,506.512054,1172.983887,-37.700214,505.794586,1174.144287
11,0,200.183823,357.561005,1417.781860,90.259834,353.221436,1416.723877,219.927200,506.960327,1385.662109,62.807426,491.846191,1379.832031,150.603134,562.056030,1219.380371,140.116806,616.781738,943.351013,136.850571,434.724884,1124.636597,134.880096,409.508148,969.232849,311.844391,506.510193,1173.021118,-37.786789,505.787384,1174.099365
12,0,200.076370,357.549011,1417.780396,90.153801,353.164398,1416.694214,219.777328,506.957123,1385.681030,62.677757,491.785522,1379.809204,150.542450,562.014465,1219.393799,140.097519,616.775696,943.350403,136.787277,434.731842,1124.626465,134.851593,409.525177,969.218262,311.763031,506.513367,1173.061157,-37.872490,505.774628,1174.055054
13,0,199.978928,357.541992,1417.780396,90.059280,353.101746,1416.665894,219.622818,506.961212,1385.700439,62.545246,491.715332,1379.786133,150.475296,561.977234,1219.405640,140.075867,616.770630,943.351196,136.727692,434.737396,1124.616577,134.827148,409.541382,969.203369,311.682678,506.520508,1173.103394,-37.956161,505.756256,1174.010986
14,0,199.893005,357.540100,1417.782227,89.977898,353.033051,1416.638916,219.463364,506.972382,1385.720581,62.409077,491.634460,1379.761475,150.397537,561.946899,1219.413818,140.051590,616.766846,943.353333,136.672440,434.741211,1124.606567,134.807190,409.556549,969.188293,311.604156,506.530884,1173.147827,-38.036793,505.732422,1173.966797
