Trajectories
100
,,Sub5:LFHD,,,Sub5:RFHD,,,Sub5:LBHD,,,Sub5:RBHD,,,Sub5:C7,,,Sub5:T10,,,Sub5:CLAV,,,Sub5:STRN,,,Sub5:LSHO,,,Sub5:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,112.307076,302.131378,1369.369629,3.857219,306.734894,1370.858398,138.958954,434.961853,1343.944214,-18.607748,436.676727,1341.040894,69.683769,489.608490,1190.416382,73.461044,575.873169,915.459106,56.801834,315.345886,1095.941650,57.478699,261.634705,936.216064,278.064148,396.646545,1123.730835,-154.034683,403.334045,1118.001465
2,0,112.346909,302.145294,1369.368896,3.895882,306.726990,1370.872437,138.967834,434.975006,1343.915405,-18.595173,436.658234,1341.036987,69.689110,489.597534,1190.417847,73.467194,575.874084,915.462891,56.806126,315.355103,1095.911255,57.492023,261.668610,936.174866,278.070618,396.643219,1123.726685,-154.034760,403.338593,1117.986450
3,0,112.393356,302.160156,1369.367676,3.941095,306.716217,1370.888184,138.978210,434.989380,1343.881104,-18.580702,436.634613,1341.031982,69.695267,489.582489,1190.421021,73.474312,575.874939,915.468506,56.811352,315.366669,1095.872437,57.507557,261.711182,936.123169,278.078552,396.635559,1123.722778,-154.034500,403.343323,1117.967651
4,0,112.442390,302.173950,1369.365601,3.989301,306.702454,1370.904541,138.989090,435.003174,1343.843994,-18.565479,436.606812,1341.025757,69.701653,489.563446,1190.425781,73.482040,575.875244,915.475708,56.817127,315.380341,1095.826294,57.524361,261.760437,936.063599,278.087555,396.622559,1123.719360,-154.033386,403.347656,1117.945923
5,0,112.489647,302.184784,1369.361938,4.036770,306.685852,1370.919922,138.999405,435.014160,1343.806641,-18.550848,436.576111,1341.018066,69.707878,489.541168,1190.431885,73.490219,575.874756,915.484253,56.822968,315.395813,1095.774902,57.541595,261.813538,935.999268,278.096985,396.603821,1123.716553,-154.030899,403.351074,1117.922485
6,0,112.531357,302.191101,1369.356445,4.080325,306.666534,1370.932617,139.008224,435.020355,1343.771729,-18.538210,436.543793,1341.009399,69.713913,489.516663,1190.438965,73.498840,575.873169,915.493103,56.828381,315.412750,1095.720825,57.558430,261.867615,935.933838,278.106140,396.579620,1123.714844,-154.026733,403.353668,1117.897705
7,0,112.564873,302.191833,1369.348145,4.117666,306.644531,1370.941284,139.014969,435.020386,1343.741699,-18.528751,436.510803,1340.999878,69.719879,489.491455,1190.446777,73.508102,575.870667,915.501587,56.833008,315.431000,1095.666016,57.573982,261.920258,935.870178,278.114655,396.550964,1123.713867,-154.020874,403.356110,1117.872803
8,0,112.588799,302.186066,1369.337158,4.147439,306.619995,1370.944824,139.019348,435.013611,1343.717651,-18.523102,436.477814,1340.990479,69.725998,489.466858,1190.454102,73.518303,575.867676,915.508850,56.836723,315.450134,1095.613037,57.587353,261.970123,935.810059,278.122162,396.519226,1123.713623,-154.013657,403.359528,1117.848022
9,0,112.602898,302.173492,1369.323120,4.169074,306.593018,1370.943115,139.021469,434.999908,1343.701172,-18.521120,436.445160,1340.982300,69.732513,489.444244,1190.461426,73.529648,575.864502,915.514709,56.839710,315.470123,1095.562622,57.597782,262.017517,935.754456,278.128632,396.485931,1123.714111,-154.005463,403.365204,1117.823975
