Trajectories
100
,,Sub4:LFHD,,,Sub4:RFHD,,,Sub4:LBHD,,,Sub4:RBHD,,,Sub4:C7,,,Sub4:T10,,,Sub4:CLAV,,,Sub4:STRN,,,Sub4:LSHO,,,Sub4:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,89.860168,306.909637,1346.841797,-17.284523,344.380707,1341.948242,158.978378,428.917572,1299.355225,9.958680,475.089539,1293.282715,77.712364,476.525238,1153.693237,84.436127,610.919922,884.723145,68.103165,355.919952,1045.784058,74.577080,370.413452,843.984619,267.676025,396.509033,1077.931763,-111.495872,426.401123,1069.761230
2,0,89.834221,306.918793,1346.846924,-17.306963,344.396179,1341.945435,158.965027,428.920685,1299.359253,9.950675,475.104065,1293.272583,77.756584,476.510773,1153.682007,84.436699,610.912842,884.720581,68.097214,355.918762,1045.782593,74.561325,370.419373,843.983704,267.668762,396.512054,1077.923584,-111.504517,426.391296,1069.758667
3,0,89.803177,306.929474,1346.854736,-17.333492,344.413879,1341.944092,158.947449,428.925415,1299.367310,9.940953,475.120483,1293.265747,77.764130,476.493713,1153.670654,84.437927,610.903748,884.716919,68.089439,355.919586,1045.784790,74.541351,370.421600,843.986206,267.659454,396.518799,1077.916382,-111.515083,426.380646,1069.758789
4,0,89.769043,306.940887,1346.865234,-17.362131,344.432434,1341.945801,158.925949,428.932251,1299.380493,9.929758,475.137695,1293.265137,77.731339,476.483398,1153.663574,84.439621,610.892761,884.711975,68.080215,355.923767,1045.792969,74.517990,370.417572,843.993347,267.648285,396.530243,1077.912720,-111.527428,426.370453,1069.762817
5,0,89.733994,306.952637,1346.878418,-17.390871,344.450714,1341.951172,158.901031,428.941589,1299.400391,9.917270,475.154938,1293.272949,77.673698,476.488953,1153.664307,84.441360,610.880676,884.705566,68.070168,355.932434,1045.808228,74.492439,370.405640,844.005859,267.635010,396.547211,1077.913330,-111.541580,426.362305,1069.772095
6,0,89.700127,306.964722,1346.893921,-17.418133,344.467743,1341.960327,158.873260,428.954163,1299.426636,9.903456,475.171539,1293.290527,77.614365,476.513641,1153.672852,84.442833,610.867676,884.697205,68.060036,355.946533,1045.830811,74.466103,370.385468,844.023743,267.619507,396.570068,1077.918945,-111.557602,426.357635,1069.786743
7,0,89.669388,306.977814,1346.911499,-17.442732,344.482849,1341.973511,158.843048,428.971100,1299.459961,9.887884,475.187164,1293.317383,77.570610,476.556641,1153.687378,84.443947,610.854309,884.686584,68.050484,355.966644,1045.860840,74.440231,370.357452,844.046631,267.601654,396.598846,1077.930176,-111.575401,426.357544,1069.806519
8,0,89.643837,306.992950,1346.931519,-17.463600,344.495697,1341.990601,158.810623,428.994202,1299.499268,9.869622,475.201630,1293.352905,77.549141,476.615479,1153.705444,84.444855,610.840759,884.673462,68.041908,355.992981,1045.897583,74.415909,370.322876,844.074158,267.581909,396.633057,1077.948120,-111.594650,426.362732,1069.830933
9,0,89.625755,307.011841,1346.953857,-17.479488,344.506042,1342.011230,158.775879,429.025909,1299.544189,9.847117,475.214874,1293.395752,77.546783,476.686676,1153.725342,84.445724,610.826904,884.657959,68.034378,356.025208,1045.939941,74.393929,370.283295,844.105469,267.561646,396.671844,1077.973999,-111.614929,426.373444,1069.858276
