Trajectories
100
,,Sub4:LFHD,,,Sub4:RFHD,,,Sub4:LBHD,,,Sub4:RBHD,,,Sub4:C7,,,Sub4:T10,,,Sub4:CLAV,,,Sub4:STRN,,,Sub4:LSHO,,,Sub4:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,61.413734,321.561737,1341.968018,-40.787476,368.770660,1324.321167,147.297882,435.910919,1302.007446,4.481149,496.299835,1278.362183,73.556114,491.467224,1144.510864,69.016418,615.660278,869.994934,66.400681,366.970764,1041.334839,68.184654,372.832581,840.332825,264.130188,415.206573,1071.128906,-112.906403,429.287140,1070.361938
2,0,61.397762,321.577423,1341.982544,-40.799046,368.786407,1324.328125,147.273483,435.930817,1302.020874,4.469958,496.313019,1278.370483,73.549690,491.480286,1144.519775,69.020271,615.653748,869.995056,66.393646,366.973358,1041.359497,68.177658,372.801971,840.355103,264.123444,415.198090,1071.144165,-112.916389,429.293060,1070.369385
3,0,61.378166,321.597168,1342.000366,-40.810417,368.807648,1324.337036,147.242584,435.955780,1302.038452,4.455357,496.329468,1278.383179,73.541420,491.497559,1144.531616,69.024483,615.644165,869.994202,66.384705,366.977325,1041.391357,68.168015,372.762756,840.383850,264.114868,415.188202,1071.163940,-112.929321,429.301758,1070.378418
4,0,61.355770,321.620148,1342.020630,-40.819893,368.834229,1324.346924,147.206818,435.984589,1302.059692,4.438358,496.348755,1278.400146,73.531509,491.518524,1144.545288,69.028763,615.630981,869.992188,66.374107,366.982666,1041.429810,68.155830,372.715973,840.418396,264.104675,415.177704,1071.187500,-112.944984,429.313385,1070.389038
5,0,61.331379,321.645569,1342.042358,-40.826466,368.865631,1324.357056,147.168747,436.015442,1302.084839,4.420449,496.370422,1278.422119,73.520180,491.542267,1144.560547,69.032982,615.614441,869.988770,66.362228,366.989014,1041.473022,68.141472,372.663177,840.457886,264.093384,415.167480,1071.214722,-112.963066,429.327942,1070.401123
6,0,61.305691,321.672546,1342.064697,-40.830193,368.900909,1324.367310,147.131958,436.046387,1302.114258,4.403083,496.393829,1278.448242,73.507645,491.567749,1144.576538,69.036926,615.595154,869.984192,66.349442,366.995514,1041.520264,68.125549,372.606262,840.500854,264.081451,415.158356,1071.245239,-112.983139,429.344818,1070.414307
7,0,61.279240,321.700470,1342.087646,-40.831974,368.938812,1324.377441,147.100967,436.075226,1302.148560,4.387389,496.418182,1278.477295,73.494064,491.593719,1144.593018,69.040161,615.574158,869.979065,66.336174,367.000916,1041.569336,68.108849,372.547852,840.545837,264.069275,415.151184,1071.278564,-113.004700,429.363007,1070.428711
8,0,61.252445,321.728912,1342.110718,-40.833145,368.978058,1324.387695,147.080750,436.099976,1302.188843,4.374295,496.442444,1278.506958,73.479393,491.618896,1144.609497,69.042084,615.552490,869.973999,66.322823,367.003845,1041.618896,68.092422,372.490356,840.590881,264.057098,415.146393,1071.314453,-113.027252,429.381073,1070.443726
9,0,61.225594,321.757721,1342.134277,-40.834980,369.017487,1324.398071,147.076401,436.118713,1302.235596,4.365006,496.465210,1278.534546,73.463402,491.642120,1144.625610,69.041924,615.530762,869.969727,66.309601,367.003082,1041.667236,68.077423,372.435486,840.634644,264.044769,415.144196,1071.352051,-113.050293,429.397278,1070.458618
